Date;Nombre de candidats;Candidats ayant reçu une ou plusieurs propositions d'admission;Candidats ayant quitté la plateforme avant de recevoir une proposition d'admission;Candidats n'ayant pas encore reçu de proposition ou en attente de place;Candidats n'ayant pas encore reçu de proposition ou en attente de place n'ayant pas quitté la plateforme
01/06;827271;457849;0;369422;369422
02/06;827271;467914;1123;359357;358234
03/06;827271;485419;2195;341852;339657
04/06;827271;505537;2525;321734;319209
05/06;827271;560441;2965;266830;263865
06/06;827271;585533;3411;241738;238327
07/06;827271;611062;3662;216209;212547
08/06;827271;627027;3915;200244;196329
09/06;827271;641261;4102;186010;181908
10/06;827271;651252;4232;176019;171787
11/06;827271;660058;4325;167213;162888
12/06;827271;666855;4396;160416;156020
13/06;827271;670739;4498;156532;152034
14/06;827271;673100;4575;154171;149596
15/06;827271;675124;4662;152147;147485
16/06;827271;679974;4982;147297;142315
17/06;827271;683724;5101;143547;138446
18/06;827271;686421;5212;140850;135638
19/06;827271;688872;5274;138399;133125
20/06;827271;691553;5382;135718;130336
21/06;827271;693852;5473;133419;127946
22/06;827271;695926;5580;131345;125765
23/06;827271;;;;
24/06;827271;;;;
25/06;827271;;;;
26/06;827271;;;;
27/06;827271;;;;
28/06;827271;;;;
29/06;827271;;;;
30/06;827271;;;;
01/07;827271;;;;
02/07;827271;;;;
03/07;827271;;;;
04/07;827271;;;;
05/07;827271;;;;
06/07;827271;;;;
07/07;827271;;;;
